case,region,window_index,window_radius_mm,fine_mean_vm_mpa,coarse_mean_vm_mpa,mean_vm_change_pct,sampled_volume_change_pct
baseline_rounded,unweighted_rim,2,10.0,3.958070968027269,3.974134778145643,-0.4042089917712599,1.3239827729341735
baseline_rounded,unweighted_rim,3,10.0,3.933113635314902,3.9981507516742076,-1.6266799427728351,0.7665632732312355
baseline_rounded,unweighted_rim,4,10.0,3.942668406331781,3.8374167214799346,2.742774436320672,0.18056414822180678
baseline_rounded,midarc_rim,1,5.0,5.869265367725705,5.700002691520206,2.9695192329875386,10.801826585355334
baseline_rounded,midarc_rim,2,5.0,6.191203476330712,5.901027763385996,4.917375829769255,-7.8711072162656714
baseline_rounded,midarc_rim,3,5.0,6.191329997958294,5.686360730324714,8.880359364833069,-4.829794338086457
baseline_rounded,midarc_rim,4,5.0,5.914190334488718,5.915502774183166,-0.02218644373180867,-7.619424780249162
baseline_rounded,midarc_rim,1,10.0,5.981874482502504,6.066954806812557,-1.4023563223928504,28.06387800129486
baseline_rounded,midarc_rim,2,10.0,5.907290236791679,6.013732112170498,-1.7699803282458015,7.253332391856171
baseline_rounded,midarc_rim,3,10.0,5.907749638584583,6.051369401832814,-2.3733431841845953,25.28438915902256
baseline_rounded,midarc_rim,4,10.0,6.063589672507109,5.998524882561444,1.084679837451663,6.119424821299013
medium_rounded,weighted_hub,1,5.0,29.272331825906544,29.339046718373787,-0.22739284308600505,-0.2510387780987777
medium_rounded,weighted_hub,2,5.0,29.25309273110628,29.184461594034858,0.23516327978259088,-2.6724392010396336
medium_rounded,weighted_hub,3,5.0,29.169221378187554,29.13516293241472,0.11689807897021787,-0.7774964999494705
medium_rounded,weighted_hub,4,5.0,29.402909167763568,29.07567867145078,1.1254440524344211,-7.394326516159955
medium_rounded,weighted_hub,1,10.0,25.475687623668655,25.43395837557246,0.16406902724301897,0.9035883589884719
medium_rounded,weighted_hub,2,10.0,25.405123221753385,25.395925633452052,0.03621678703145115,-1.2075171874367574
medium_rounded,weighted_hub,3,10.0,25.421702521352724,25.33975347144765,0.32340113331177367,3.180124977359289
medium_rounded,weighted_hub,4,10.0,25.399244862293855,25.377338908229458,0.08632092649121237,3.296905671722472
medium_rounded,inner_insert_boss,1,5.0,25.515119325458844,25.63769315807591,-0.47810008436134366,-1.5739633578617185
medium_rounded,inner_insert_boss,2,5.0,25.828503462318764,26.074861630504657,-0.9448110278663213,1.6566924205730915
medium_rounded,inner_insert_boss,3,5.0,26.084961064935207,26.11558184286421,-0.1172509887516382,9.488994491510727
medium_rounded,inner_insert_boss,4,5.0,25.512019513322237,25.94688699852196,-1.6759909781257964,-8.267624874927792
