case,mesh,region,window_index,window_radius_mm,center_x_mm,center_y_mm,sampled_volume_mm3,sample_count,mean_vm_mpa,vm_of_mean_tensor_mpa
medium_rounded,0.018,inner_insert_boss,2,5.0,-152.30303992915273,15.0,1109.7156037666875,179,26.074861630504657,24.85223058510285
medium_rounded,0.018,inner_insert_boss,3,5.0,152.30303992915273,-15.0,1092.3430305059069,225,26.11558184286421,25.040768291308485
medium_rounded,0.018,inner_insert_boss,4,5.0,152.30303992915273,15.0,1277.7265447463874,159,25.94688699852196,24.81438396791832
medium_rounded,0.018,inner_insert_boss,1,10.0,-152.30303992915273,-15.0,4490.892532232638,605,22.565312772916812,21.5026980892099
medium_rounded,0.018,inner_insert_boss,2,10.0,-152.30303992915273,15.0,4282.209701254715,560,22.536371769135087,21.443738893656246
medium_rounded,0.018,inner_insert_boss,3,10.0,152.30303992915273,-15.0,4275.794756998524,718,22.477747078867868,21.40018879377472
medium_rounded,0.018,inner_insert_boss,4,10.0,152.30303992915273,15.0,4088.79005470658,488,22.289811210619362,21.192141120152428
medium_rounded,0.018,unweighted_hub,1,5.0,-15.0,-25.98076211353316,1096.1885477635742,1167,6.479705972841025,6.248889001513286
medium_rounded,0.018,unweighted_hub,2,5.0,-15.0,25.98076211353316,1136.632701219069,1049,6.422916124973474,6.2278662775494285
medium_rounded,0.018,unweighted_hub,3,5.0,15.0,-25.98076211353316,1107.69187830119,1105,6.445349136905357,6.231088083793171
medium_rounded,0.018,unweighted_hub,4,5.0,15.0,25.98076211353316,1198.535741942915,1033,6.336097080108329,6.142611408955229
medium_rounded,0.018,unweighted_hub,1,10.0,-15.0,-25.98076211353316,3955.070079599945,4274,8.105038597040057,7.641405207272887
medium_rounded,0.018,unweighted_hub,2,10.0,-15.0,25.98076211353316,4107.27560314104,4013,7.908469122866625,7.43380584566872
medium_rounded,0.018,unweighted_hub,3,10.0,15.0,-25.98076211353316,4189.413424129075,3998,7.863999467314872,7.3802709578087
medium_rounded,0.018,unweighted_hub,4,10.0,15.0,25.98076211353316,3988.3109242908904,3930,8.083193678555784,7.600314340910377
medium_rounded,0.018,unweighted_rim,1,5.0,-15.0,-229.51034835057,1230.0938699805138,59,2.982503322084678,2.8874241368767395
medium_rounded,0.018,unweighted_rim,2,5.0,-15.0,229.51034835057,987.642380147417,53,3.5607300840722718,3.4605470143960257
medium_rounded,0.018,unweighted_rim,3,5.0,15.0,-229.51034835057,1280.2751700501753,62,3.391119312432639,3.3085201934286887
medium_rounded,0.018,unweighted_rim,4,5.0,15.0,229.51034835057,1246.0754798567418,61,3.208670457442546,3.1166142513391257
medium_rounded,0.018,unweighted_rim,1,10.0,-15.0,-229.51034835057,4708.058898450076,127,3.515479655864569,3.417190620884692
medium_rounded,0.018,unweighted_rim,2,10.0,-15.0,229.51034835057,4816.044201537865,120,3.3728478023851105,3.2811192145239936
medium_rounded,0.018,unweighted_rim,3,10.0,15.0,-229.51034835057,4892.788963107474,127,3.4897833407070475,3.39652705022397
medium_rounded,0.018,unweighted_rim,4,10.0,15.0,229.51034835057,4938.815314667178,140,3.5543065480656097,3.4433100530665692
medium_rounded,0.018,midarc_rim,1,5.0,169.7056274847714,169.70562748477138,1170.7058262979644,8,5.8788403172589705,5.878502146903794
medium_rounded,0.018,midarc_rim,2,5.0,-169.70562748477138,169.7056274847714,1170.7011661727354,8,5.87896616668076,5.878627845885684
medium_rounded,0.018,midarc_rim,3,5.0,-169.70562748477144,-169.70562748477138,1170.689778166794,8,5.878755117183494,5.878417094323594
medium_rounded,0.018,midarc_rim,4,5.0,169.70562748477136,-169.70562748477144,1170.6988483031694,8,5.878965593373981,5.8786273374502835
medium_rounded,0.018,midarc_rim,1,10.0,169.7056274847714,169.70562748477138,7023.8853392395495,48,5.912393078413705,5.908620238571715
medium_rounded,0.018,midarc_rim,2,10.0,-169.70562748477138,169.7056274847714,7023.903353451971,48,5.9125068715551246,5.908733889544912
medium_rounded,0.018,midarc_rim,3,10.0,-169.70562748477144,-169.70562748477138,7023.858576669188,48,5.91233961371356,5.908566942129256
medium_rounded,0.018,midarc_rim,4,10.0,169.70562748477136,-169.70562748477144,7023.8818728673505,48,5.912486259764019,5.908713373388406
wide_rounded,0.013,weighted_hub,1,5.0,-22.360679774997898,-20.0,1030.8641686249953,1114,21.394985139879413,20.381662467914403
wide_rounded,0.013,weighted_hub,2,5.0,-22.360679774997898,20.0,1051.2307983172373,1018,21.512512729442463,20.497643110699155
wide_rounded,0.013,weighted_hub,3,5.0,22.360679774997898,-20.0,1042.158467932756,1005,21.259575272911498,20.23387558670801
wide_rounded,0.013,weighted_hub,4,5.0,22.360679774997898,20.0,1057.6022876157067,1078,21.46773650847115,20.503324663939154
wide_rounded,0.013,weighted_hub,1,10.0,-22.360679774997898,-20.0,4220.175277905822,1925,17.48441351372395,16.515994278703236
wide_rounded,0.013,weighted_hub,2,10.0,-22.360679774997898,20.0,4323.186459671793,1613,17.394658259246086,16.458714375364995
