stage,id,tones,group_bits,group_symbols,carrier_hz,packets,errors,ber,span_hz,symbol_s,torque_ratio_to_published,pruned_states,numerical_checks,max_block_s,max_latency_s
screen,M7_g3b8_spanT0.4_f24,7,8,3,24.0,4,433,0.48325892857142855,0.28928571428571437,1.382716049382716,0.33333333333333337,0,True,0.5495017999783158,224.15591189998668
screen,M7_g3b8_spanT0.8_f18,7,8,3,18.0,4,100,0.11160714285714286,0.5785714285714287,1.382716049382716,0.6666666666666667,0,True,0.6598144000163302,224.2046882000286
screen,M7_g3b8_spanT0.8_f24,7,8,3,24.0,4,170,0.18973214285714285,0.5785714285714287,1.382716049382716,0.6666666666666667,0,True,0.6891475000302307,224.1894570000004
screen,M7_g3b8_spanT1.2_f18,7,8,3,18.0,4,0,0.0,0.8678571428571429,1.382716049382716,1.0,0,True,0.17928660003235564,224.04468580003595
screen,M7_g3b8_spanT1.2_f24,7,8,3,24.0,4,0,0.0,0.8678571428571429,1.382716049382716,1.0,0,True,0.17177500005345792,224.04503460001433
screen,M7_g3b8_spanT1.6_f18,7,8,3,18.0,4,0,0.0,1.1571428571428575,1.382716049382716,1.3333333333333335,0,True,0.6643564000260085,224.21594239998376
screen,M7_g3b8_spanT1.6_f24,7,8,3,24.0,4,0,0.0,1.1571428571428575,1.382716049382716,1.3333333333333335,0,True,0.6842248000320978,224.17363420000765
screen,M7_g4b11_spanT0.4_f18,7,11,4,18.0,4,439,0.48995535714285715,0.2821428571428572,1.4177215189873418,0.3170756490372403,0,True,0.37089750001905486,224.0460908000241
screen,M7_g4b11_spanT0.4_f24,7,11,4,24.0,4,444,0.4955357142857143,0.2821428571428572,1.4177215189873418,0.3170756490372403,0,True,0.34528120001778007,224.04409869998926
screen,M7_g4b11_spanT0.8_f18,7,11,4,18.0,4,242,0.2700892857142857,0.5642857142857144,1.4177215189873418,0.6341512980744806,0,True,0.3473568000481464,224.04619939997792
screen,M7_g4b11_spanT0.8_f24,7,11,4,24.0,4,279,0.31138392857142855,0.5642857142857144,1.4177215189873418,0.6341512980744806,0,True,0.348353200010024,224.04761090001557
screen,M7_g4b11_spanT1.2_f18,7,11,4,18.0,4,0,0.0,0.8464285714285713,1.4177215189873418,0.9512269471117206,0,True,0.1272210999741219,224.02262880001217
screen,M7_g4b11_spanT1.2_f24,7,11,4,24.0,4,0,0.0,0.8464285714285713,1.4177215189873418,0.9512269471117206,0,True,0.13299499999266118,224.0209422999178
screen,M7_g4b11_spanT1.6_f18,7,11,4,18.0,4,0,0.0,1.1285714285714288,1.4177215189873418,1.2683025961489611,0,True,0.4720200999872759,224.062177099986
screen,M7_g4b11_spanT1.6_f24,7,11,4,24.0,4,0,0.0,1.1285714285714288,1.4177215189873418,1.2683025961489611,0,True,0.4545405000098981,224.0629493999877
screen,M8_g1b3_spanT0.4_f18,8,3,1,18.0,4,431,0.4810267857142857,0.26071428571428573,1.5342465753424657,0.270741248793375,7368040,False,0.9036137000075541,224.13250960002188
screen,M8_g1b3_spanT0.4_f24,8,3,1,24.0,4,468,0.5223214285714286,0.26071428571428573,1.5342465753424657,0.270741248793375,7464128,False,0.9016680999775417,224.13459959998727
screen,M8_g1b3_spanT0.8_f18,8,3,1,18.0,4,163,0.18191964285714285,0.5214285714285715,1.5342465753424657,0.54148249758675,14308456,False,0.4284685999737121,224.12021700001787
screen,M8_g1b3_spanT0.8_f24,8,3,1,24.0,4,236,0.26339285714285715,0.5214285714285715,1.5342465753424657,0.54148249758675,14590912,False,0.431776900019031,224.10776850004913
screen,M8_g1b3_spanT1.2_f18,8,3,1,18.0,4,0,0.0,0.7821428571428571,1.5342465753424657,0.8122237463801251,18225856,False,0.8650428999681026,224.1322696999996
screen,M8_g1b3_spanT1.2_f24,8,3,1,24.0,4,0,0.0,0.7821428571428571,1.5342465753424657,0.8122237463801251,18624136,False,0.6873230999917723,224.1332866999437
screen,M8_g1b3_spanT1.6_f18,8,3,1,18.0,4,0,0.0,1.042857142857143,1.5342465753424657,1.0829649951735,20628360,False,0.8819615000393242,224.20020430005388
screen,M8_g1b3_spanT1.6_f24,8,3,1,24.0,4,0,0.0,1.042857142857143,1.5342465753424657,1.0829649951735,20963288,False,0.8744283000123687,224.2183978999965
